State,HHI
Alabama,9070
Alaska,9276
Arizona,3922
Arkansas,5099
California,3121
Colorado,3211
Connecticut,2219
Delaware,6309
District of Columbia,2457
Florida,3025
Georgia,2730
Hawaii,4981
Idaho,5224
Illinois,5835
Indiana,5082
Iowa,6537
Kansas,3774
Kentucky,5218
Louisiana,5314
Maine,5080
Maryland,3853
Massachusetts,4283
Michigan,4843
Minnesota,3157
Mississippi,7364
Missouri,2605
Montana,7272
Nebraska,6882
Nevada,4372
New Hampshire,4226
New Jersey,3259
New Mexico,5043
New York,1194
North Carolina,5910
North Dakota,4441
Ohio,3223
Oklahoma,5578
Oregon,2860
Pennsylvania,2420
Rhode Island,6773
South Carolina,8404
South Dakota,4806
Tennessee,4825
Texas,3719
Utah,3159
Vermont,6408
Virginia,2671
Washington,2815
West Virginia,6802
Wisconsin,1290
Wyoming,8460
