State,TotalPremium,
United States,7380,
Alabama,6719,
Alaska,9037,
Arizona,6728,
Arkansas,6340,
California,7574,
Colorado,6909,
Connecticut,7717,
Delaware,7906,
District of Columbia,8379,
Florida,7372,
Georgia,7285,
Hawaii,6573,
Idaho,6734,
Illinois,7395,
Indiana,7635,
Iowa,6999,
Kansas,6889,
Kentucky,7319,
Louisiana,6785,
Maine,7677,
Maryland,7272,
Massachusetts,8088,
Michigan,7204,
Minnesota,7448,
Mississippi,7008,
Missouri,7239,
Montana,7306,
Nebraska,7774,
Nevada,6748,
New Hampshire,7963,
New Jersey,7641,
New Mexico,7566,
New York,8542,
North Carolina,7130,
North Dakota,7298,
Ohio,7095,
Oklahoma,7081,
Oregon,7418,
Pennsylvania,7438,
Rhode Island,8125,
South Carolina,7314,
South Dakota,7338,
Tennessee,6741,
Texas,7183,
Utah,6707,
Vermont,8050,
Virginia,7324,
Washington,7571,
West Virginia,8046,
Wisconsin,7254,
Wyoming,7920,
,,
