State,RPP_All_Item
United States,100
Alabama,88.139
Alaska,104.439
Arizona,96.721
Arkansas,89.445
California,111.797
Colorado,103.009
Connecticut,102.603
Delaware,97.677
District of Columbia,111.271
Florida,101.43
Georgia,95.784
Hawaii,113.227
Idaho,91.776
Illinois,101.412
Indiana,92.735
Iowa,89.568
Kansas,91.157
Kentucky,89.124
Louisiana,91.276
Maine,97.205
Maryland,106.223
Massachusetts,106.555
Michigan,94.253
Minnesota,98.423
Mississippi,86.601
Missouri,92.022
Montana,91.567
Nebraska,91.751
Nevada,95.543
New Hampshire,102.51
New Jersey,109.099
New Mexico,89.907
New York,109.504
North Carolina,93.805
North Dakota,91.103
Ohio,92.459
Oklahoma,90.269
Oregon,103.032
Pennsylvania,96.371
Rhode Island,102.083
South Carolina,93.693
South Dakota,90.147
Tennessee,90.854
Texas,98.502
Utah,94.592
Vermont,98.66
Virginia,102.278
Washington,108.885
West Virginia,90.763
Wisconsin,93.347
Wyoming,91.418
