State,Unemployed
United States,0.039
Alabama,0.031
Alaska,0.055
Arizona,0.039
Arkansas,0.033
California,0.058
Colorado,0.042
Connecticut,0.051
Delaware,0.048
District of Columbia,0.061
Florida,0.035
Georgia,0.033
Hawaii,0.043
Idaho,0.031
Illinois,0.051
Indiana,0.027
Iowa,0.039
Kansas,0.028
Kentucky,0.046
Louisiana,0.044
Maine,0.041
Maryland,0.054
Massachusetts,0.046
Michigan,0.051
Minnesota,0.03
Mississippi,0.047
Missouri,0.039
Montana,0.029
Nebraska,0.023
Nevada,0.053
New Hampshire,0.03
New Jersey,0.051
New Mexico,0.059
New York,0.054
North Carolina,0.041
North Dakota,0.031
Ohio,0.045
Oklahoma,0.028
Oregon,0.042
Pennsylvania,0.055
Rhode Island,0.045
South Carolina,0.036
South Dakota,0.029
Tennessee,0.036
Texas,0.048
Utah,0.023
Vermont,0.031
Virginia,0.033
Washington,0.045
West Virginia,0.043
Wisconsin,0.031
Wyoming,0.04
Puerto Rico,0.075
