"State","West","South","Midwest","Northeast","HHI","Patient","Poverty","TotalPremium","Unemployed","PriceLevel","White","Black","Hispanic","Asian","Other","Income"
"Alabama",0,1,0,0,9070,1714,16.3,6719,0.031,88.139,0.644,0.255,0.047,0.013,0.041,53913
"Alaska",1,0,0,0,9276,1731,10.8,9037,0.055,104.439,0.579,0.026,0.067,0.07,0.258,77845
"Arizona",1,0,0,0,3922,1270,12.9,6728,0.039,96.721,0.521,0.041,0.324,0.033,0.082,69056
"Arkansas",0,1,0,0,5099,2058,16,6340,0.033,89.445,0.683,0.144,0.083,0.014,0.076,52528
"California",1,0,0,0,3121,1317,12.3,7574,0.058,111.797,0.342,0.051,0.403,0.151,0.052,84907
"Colorado",1,0,0,0,3211,1566,9.7,6909,0.042,103.009,0.653,0.036,0.222,0.031,0.058,82254
"Connecticut",0,0,0,1,2219,2945,10.1,7717,0.051,102.603,0.628,0.097,0.178,0.047,0.05,83771
"Delaware",0,1,0,0,6309,2419,11.5,7906,0.048,97.677,0.595,0.203,0.102,0.041,0.057,71091
"District of Columbia",0,1,0,0,2457,3908,16.8,8379,0.061,111.271,0.359,0.431,0.115,0.038,0.055,90088
"Florida",0,1,0,0,3025,1384,13.2,7372,0.035,101.43,0.512,0.144,0.27,0.028,0.047,63062
"Georgia",0,1,0,0,2730,1989,14.2,7285,0.033,95.784,0.503,0.303,0.1,0.043,0.05,66559
"Hawaii",1,0,0,0,4981,1970,10.9,6573,0.043,113.227,0.196,0.013,0.109,0.375,0.306,84857
"Idaho",1,0,0,0,5224,3717,10.8,6734,0.031,91.776,0.788,0.007,0.133,0.014,0.059,66474
"Illinois",0,0,1,0,5835,3007,12.1,7395,0.051,101.412,0.59,0.132,0.181,0.057,0.04,72205
"Indiana",0,0,1,0,5082,3046,12.1,7635,0.027,92.735,0.767,0.086,0.077,0.023,0.046,62743
"Iowa",0,0,1,0,6537,4043,11,6999,0.039,89.568,0.831,0.034,0.067,0.023,0.045,65600
"Kansas",0,0,1,0,3774,3285,11.6,6889,0.028,91.157,0.734,0.047,0.129,0.03,0.06,64124
"Kentucky",0,1,0,0,5218,3488,16.3,7319,0.046,89.124,0.83,0.068,0.038,0.015,0.049,55573
"Louisiana",0,1,0,0,5314,2369,19.5,6785,0.044,91.276,0.574,0.306,0.055,0.018,0.048,52087
"Maine",0,0,0,1,5080,6218,11.2,7677,0.041,97.205,0.9,0.014,0.018,0.011,0.056,64767
"Maryland",0,1,0,0,3853,1271,10.3,7272,0.054,106.223,0.481,0.286,0.111,0.068,0.053,90203
"Massachusetts",0,0,0,1,4283,3474,10.4,8088,0.046,106.555,0.677,0.061,0.129,0.069,0.064,89645
"Michigan",0,0,1,0,4843,3766,13,7204,0.051,94.253,0.731,0.131,0.056,0.032,0.051,63498
"Minnesota",0,0,1,0,3157,2245,9.3,7448,0.03,98.423,0.769,0.067,0.058,0.05,0.055,77720
"Mississippi",0,1,0,0,7364,2482,19.2,7008,0.047,86.601,0.559,0.357,0.031,0.008,0.044,48716
"Missouri",0,0,1,0,2605,4315,12.8,7239,0.039,92.022,0.768,0.106,0.046,0.02,0.06,61847
"Montana",1,0,0,0,7272,4469,12,7306,0.029,91.567,0.838,0.004,0.043,0.007,0.109,63249
"Nebraska",0,0,1,0,6882,3230,10.5,7774,0.023,91.751,0.766,0.042,0.12,0.022,0.05,66817
"Nevada",1,0,0,0,4372,910,14,6748,0.053,95.543,0.451,0.086,0.301,0.084,0.079,66274
"New Hampshire",0,0,0,1,4226,4504,7.4,7963,0.03,102.51,0.876,0.012,0.043,0.027,0.043,88465
"New Jersey",0,0,0,1,3259,1881,10.2,7641,0.051,109.099,0.522,0.121,0.216,0.1,0.041,89296
"New Mexico",1,0,0,0,5043,1592,17.7,7566,0.059,89.907,0.348,0.016,0.503,0.014,0.118,53992
"New York",0,0,0,1,1194,3208,14,8542,0.054,109.504,0.535,0.132,0.196,0.087,0.05,74314
"North Carolina",0,1,0,0,5910,1985,13.5,7130,0.041,93.805,0.611,0.197,0.101,0.031,0.059,61972
"North Dakota",0,0,1,0,4441,3543,10.9,7298,0.031,91.103,0.827,0.029,0.039,0.014,0.087,66519
"Ohio",0,0,1,0,3223,3920,13.3,7095,0.045,92.459,0.767,0.115,0.043,0.024,0.051,62262
"Oklahoma",0,1,0,0,5578,1926,15.4,7081,0.028,90.269,0.629,0.065,0.119,0.023,0.163,55826
"Oregon",1,0,0,0,2860,3011,12.2,7418,0.042,103.032,0.721,0.018,0.14,0.045,0.076,71562
"Pennsylvania",0,0,0,1,2420,3108,12,7438,0.055,96.371,0.739,0.097,0.084,0.037,0.044,68957
"Rhode Island",0,0,0,1,6773,2128,12.1,8125,0.045,102.083,0.689,0.043,0.174,0.03,0.062,74008
"South Carolina",0,1,0,0,8404,1988,14.5,7314,0.036,93.693,0.628,0.247,0.063,0.016,0.045,59318
"South Dakota",0,0,1,0,4806,3723,11.9,7338,0.029,90.147,0.802,0.02,0.04,0.015,0.121,66143
"Tennessee",0,1,0,0,4825,1949,13.7,6741,0.036,90.854,0.723,0.151,0.06,0.017,0.049,59695
"Texas",0,1,0,0,3719,1573,14.2,7183,0.048,98.502,0.393,0.114,0.404,0.052,0.038,66963
